id,searchable_name,location_label,map_location,category,convention_id
18029,"Westin : Grand Ballroom IV - V : 2nd Stage, Events ",,/map?c=27&f=2&lg=48.955078125&lt=-52.96187505907602&s=18029&z=5,Events,27
18036,"Hyatt : Regency Ballroom : A - E : BGG Hot Games Room, Events",,/map?c=27&f=2&lg=-21.533203125000004&lt=-57.89149735271031&s=18036&z=5,Events,27
18041,"Marriott : Indiana Ballroom C-D : Norse Foundry, Events",,/map?c=27&f=1&lg=68.64257812500001&lt=-65.29346780107583&s=18041&z=5,Events,27
18042,"Crowne Plaza : Grand Central A - D : Escape Room, Events",Crowne Plaza : Grand Central A - D : Escape Room,/map?c=27&f=1&lg=-25.224609375000004&lt=47.754097979680026&s=18042&z=5,Events,27
18046,JW : White River Ballroom : A-BGame Design Academy,,/map?c=27&f=1&lg=150.8203125&lt=-54.97761367069625&s=18046&z=5,Events,27
18047,"Gen Con Dance, Events (Union Station)",,/map?c=27&f=1&lg=-66.18164062500001&lt=32.32427558887655&s=18047&z=5,Events,27
18048,"Kid Zone, Events (Wabash Ballroom 2 - 3)",,/map?c=27&f=1&lg=51.77929687499971&lt=-38.9764924855394&s=18048&z=5,Events,27
18050,"ICC : Rm 124 : RPG, Events",,/map?c=27&f=1&lg=77.93701171875001&lt=-40.01359197813854&s=18050&z=5,Events,27
18056,"Open Gaming, Events (JW, Grand Ballroom)",,/map?c=27&f=3&lg=152.49023437500003&lt=-51.672555148396754&s=18056&z=5,Events,27
18058,"Puppetry Program, Events (Marriott, Indiana Ballroom E)",,/map?c=27&f=1&lg=66.88476562500001&lt=-63.31268278043484&s=18058&z=5,Events,27
18060,"ICC : Rm 127 : RPG, Events",ICC : Rm 127,/map?c=27&f=1&lg=90.96679687500001&lt=-40.04443758460857&s=18060&z=5,Events,27
18061,"RPG, Events (Stadium rm 4)",,/map?c=27&f=0&lg=12.919921875000002&lt=74.0437225981325&s=18061&z=5,Events,27
18062,"Stadium : Rm 9 : RPG, Events",,/map?c=27&f=0&lg=10.766601562500002&lt=75.02766361549945&s=18062&z=5,Events,27
18063,"RPG, Events (Stadium rm 7)",,/map?c=27&f=0&lg=4.570312500000001&lt=75.11822201684028&s=18063&z=5,Events,27
18064,"ICC : Rm 126 : Buried Giant, Events",ICC : Rm 126,/map?c=27&f=1&lg=88.2421875&lt=-40.04443758460857&s=18064&z=5,Events,27
18066,"ICC : Rm 125 : Van Ryder, Events",ICC : Rm 125,/map?c=27&f=1&lg=85.60546875000001&lt=-40.04443758460857&s=18066&z=5,Events,27
18067,"ICC : Rm 122 : Warhammer, Events",ICC : Rm 122,/map?c=27&f=1&lg=73.03710937500001&lt=-40.14808859840888&s=18067&z=5,Events,27
18068,"ICC : Rm 121 : Bandai, Events",ICC : Rm 121,/map?c=27&f=1&lg=70.35644531250001&lt=-40.178873314346966&s=18068&z=5,Events,27
18069,"RPG, Events (Stadium rm 5-6)",,/map?c=27&f=0&lg=5.295410156250001&lt=74.38442852287905&s=18069&z=5,Events,27
18070,"RPG, Events (Stadium rm 11)",,/map?c=27&f=0&lg=5.987548828125001&lt=76.22418692307015&s=18070&z=5,Events,27
18072,"Stadium : Meeting Room 1 - 2 : RPG, Events",,/map?c=27&f=0&lg=7.053222656250001&lt=72.99690914812648&s=18072&z=5,Events,27
18073,"Stadium : Rm 8 : Seminars, Events",,/map?c=27&f=0&lg=8.822021484375002&lt=74.86788912917916&s=18073&z=5,Events,27
18077,"Seminars, Events (Stadium rm 12)",,/map?c=27&f=0&lg=4.130859375000001&lt=76.39331166244496&s=18077&z=5,Events,27
18078,"Stadium : Meeting Room 10 : Seminars, Events",,/map?c=27&f=0&lg=7.811279296875001&lt=76.06115461815399&s=18078&z=5,Events,27
18088,"Special Events, Events (Stadium, East Lounge)",,/map?c=27&f=1&lg=16.435546875000004&lt=80.38639582973975&s=18088&z=5,Events,27
18092,"Trade Day, Events (JW, 2nd Floor)",,/map?c=27&f=2&lg=151.47949218750003&lt=-48.45835188280866&s=18092&z=5,Events,27
18093,"Trade Day Marketplace (JW, 1st Floor)",,/map?c=27&f=1&lg=156.79687500000003&lt=-50.401515322782366&s=18093&z=5,Events,27
18097,"Writers Symposium, Events (Marriott 2nd Floor)",,/map?c=27&f=2&lg=66.35742187500001&lt=-65.6582745198266&s=18097&z=5,Events,27
